plane,manufacturing_year,type,manufacturer,model,engines,seats,speed,engine,fuel_cc
N12125,1998,Fixed wing multi engine,BOEING,757-224,2,178,,Turbo-jet,37377.09079
N12126,2003,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan,8891.788798
N12135,2003,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan,9088.031124
N12136,2003,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan,8988.04665
N12142,2003,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan,9039.171846
N12145,2003,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan,8423.472565
N12157,2004,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan,8583.556541
N12160,2004,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan,8781.932447
N12163,2004,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan,8484.002434
N12166,2004,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan,8434.545344
N12167,2004,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan,8605.43639
N12172,2004,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan,9146.750259
N12175,2004,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan,9048.818051
N12195,2005,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan,8267.285046
N121DE,1987,Fixed wing multi engine,BOEING,767-332,2,330,,Turbo-fan,115561.8185
N121UW,2000,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-214,2,182,,Turbo-fan,38650.2103
N12201,2006,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan,9095.153341
N12216,1998,Fixed wing multi engine,BOEING,737-824,2,149,,Turbo-fan,27677.29775
N12218,1998,Fixed wing multi engine,BOEING,737-824,2,149,,Turbo-fan,28028.37882
N12221,1998,Fixed wing multi engine,BOEING,737-824,2,149,,Turbo-fan,28449.41891
N12225,1998,Fixed wing multi engine,BOEING,737-824,2,149,,Turbo-fan,27914.45768
N12238,1999,Fixed wing multi engine,BOEING,737-824,2,149,,Turbo-fan,28074.60984
N122US,2000,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-214,2,182,,Turbo-fan,39084.98244
N123UW,2000,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-214,2,182,,Turbo-fan,39010.77349
N124US,2000,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-214,2,182,,Turbo-fan,39355.28851
N12540,2001,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan,8714.312069
N12552,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan,8922.380718
N12563,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan,9115.571103
N12564,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan,8167.376242
N12567,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan,9235.123367
N12569,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan,8775.029217
N125UW,2009,Fixed wing multi engine,AIRBUS,A320-214,2,182,,Turbo-fan,38967.47531
N126UW,2009,Fixed wing multi engine,AIRBUS,A320-214,2,182,,Turbo-fan,38262.28002
N127UW,2010,Fixed wing multi engine,AIRBUS,A320-214,2,182,,Turbo-fan,38501.79913
N128UW,2010,Fixed wing multi engine,AIRBUS,A320-214,2,182,,Turbo-fan,38953.99049
N12900,2001,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan,9211.129352
N12921,2000,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan,9226.538173
N12922,2000,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan,8501.546505
N12924,2000,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan,8402.356859
N12957,1998,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan,9356.555315
N12967,1999,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan,8574.236075
N12996,2000,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan,9190.128631
N13110,1994,Fixed wing multi engine,BOEING,757-224,2,178,,Turbo-jet,37518.02841
N13113,1995,Fixed wing multi engine,BOEING,757-224,2,178,,Turbo-jet,37426.29137
N13118,2002,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan,8519.125989
N13123,2003,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan,9032.77117
N13124,2003,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan,9042.63696
N13132,2003,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan,8620.398251
N13133,2003,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan,8200.072364
N13138,1999,Fixed wing multi engine,BOEING,757-224,2,178,,Turbo-jet,37589.36444
N13161,2004,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan,8713.258562
N131EV,2009,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2,95,,Turbo-fan,14947.22918
N13202,2006,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan,8431.11777
N13248,1999,Fixed wing multi engine,BOEING,737-824,2,149,,Turbo-fan,28104.77057
N132EV,2009,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2,95,,Turbo-fan,14589.04774
N133EV,2009,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2,95,,Turbo-fan,14223.08621
N134EV,2009,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2,95,,Turbo-fan,14392.02505
N13538,2001,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan,8967.208118
N13550,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan,8798.096068
N13553,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan,8203.420165
N13566,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan,9085.389648
N135EV,2009,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2,95,,Turbo-fan,14171.0923
N136DL,1991,Fixed wing multi engine,BOEING,767-332,2,330,,Turbo-fan,115197.6224
N136EV,2009,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2,95,,Turbo-fan,14068.46082
N13716,1998,Fixed wing multi engine,BOEING,737-724,2,149,,Turbo-jet,28211.74969
N13718,1999,Fixed wing multi engine,BOEING,737-724,2,149,,Turbo-jet,28005.81216
N13750,1999,Fixed wing multi engine,BOEING,737-724,2,149,,Turbo-jet,27665.76683
N137DL,1991,Fixed wing multi engine,BOEING,767-332,2,330,,Turbo-fan,114684.1875
N137EV,2009,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2,95,,Turbo-fan,14474.59049
N138EV,2009,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2,95,,Turbo-fan,14806.75802
N13903,2001,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan,8560.713521
N13908,2001,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan,8653.921536
N13913,2001,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan,8920.63263
N13914,2001,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan,8510.568793
N13949,1998,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan,9060.916735
N13955,1998,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan,9356.049177
N13956,1998,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan,8647.734943
N13958,1998,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan,9041.594947
N13964,1999,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan,9274.154691
N13965,1999,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan,8589.157464
N13968,1999,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan,8998.004992
N13969,1999,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan,8431.229065
N13970,1999,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan,8751.179734
N13975,1999,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan,8915.698625
N13978,1999,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan,8765.901334
N13979,1999,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan,9069.25829
N13988,2000,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan,8732.61052
N13989,2000,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan,9072.55255
N13992,2000,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan,8287.996974
N13994,2000,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan,8706.599334
N13995,2000,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan,8255.25935
N13997,2000,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan,8401.66153
N14102,1994,Fixed wing multi engine,BOEING,757-224,2,178,,Turbo-jet,37596.04141
N14105,2002,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan,9094.9583
N14106,1994,Fixed wing multi engine,BOEING,757-224,2,178,,Turbo-jet,37532.09187
N14107,1994,Fixed wing multi engine,BOEING,757-224,2,178,,Turbo-jet,37886.00068
N14115,1995,Fixed wing multi engine,BOEING,757-224,2,178,,Turbo-jet,37430.38844
N14116,2002,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan,8812.40535
N14117,2002,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan,8702.740148
N14118,1997,Fixed wing multi engine,BOEING,757-224,2,178,,Turbo-jet,37978.39259
N14120,1997,Fixed wing multi engine,BOEING,757-224,2,178,,Turbo-jet,38091.99548
N14121,1997,Fixed wing multi engine,BOEING,757-224,2,178,,Turbo-jet,37708.20617
N14125,2003,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan,8788.96608
N14143,2003,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan,8569.564026
N14148,2003,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan,9005.672597
N14153,2003,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan,8617.489231
N14158,2004,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan,8310.157215
N14162,2004,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan,8183.652463
N14168,2004,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan,9032.590749
N14171,2004,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan,8389.518647
N14173,2004,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan,8911.742071
N14174,2004,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan,9055.143426
N14177,2005,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan,8590.41287
N14179,2005,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan,8981.769425
N14180,2005,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan,8848.308554
N14186,2005,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan,8154.328675
N14188,2005,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan,8527.577639
N14198,2006,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan,8835.650736
N14203,2006,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan,8281.865524
N14204,2006,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan,8821.446101
N14214,1998,Fixed wing multi engine,BOEING,737-824,2,149,,Turbo-fan,27767.20243
N14219,1998,Fixed wing multi engine,BOEING,737-824,2,149,,Turbo-fan,27950.81043
N14228,1999,Fixed wing multi engine,BOEING,737-824,2,149,,Turbo-fan,27838.66696
N14230,1999,Fixed wing multi engine,BOEING,737-824,2,149,,Turbo-fan,27784.99502
N14231,1999,Fixed wing multi engine,BOEING,737-824,2,149,,Turbo-fan,27981.75227
N14237,1999,Fixed wing multi engine,BOEING,737-824,2,149,,Turbo-fan,27851.59818
N14242,1999,Fixed wing multi engine,BOEING,737-824,2,149,,Turbo-fan,28154.45482
N14250,1999,Fixed wing multi engine,BOEING,737-824,2,149,,Turbo-fan,28459.2339
N143DA,1998,Fixed wing multi engine,BOEING,767-332,2,330,,Turbo-fan,114386.5441
N14542,2001,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan,8900.059969
N14543,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan,8615.846973
N14558,,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan,
N14562,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan,8401.374574
N14568,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan,8832.773012
N14570,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan,9018.178882
N14573,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan,8444.845879
N14629,1965,Fixed wing multi engine,BOEING,737-524,2,149,,Turbo-fan,30626.081
N146PQ,2007,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2,95,,Turbo-fan,14526.67603
N14704,1998,Fixed wing multi engine,BOEING,737-724,2,149,,Turbo-jet,27979.75547
N14731,1999,Fixed wing multi engine,BOEING,737-724,2,149,,Turbo-jet,28348.25472
N147PQ,2007,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2,95,,Turbo-fan,14233.86961
N14902,2001,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan,8578.084001
N14904,2001,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan,9104.604328
N14905,2001,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan,8799.647115
N14907,2001,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan,9094.346374
N14916,2001,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan,8340.318841
N14920,2001,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan,8430.069575
N14923,2000,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan,8532.14966
N14950,1998,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan,9113.659667
N14952,1998,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan,8293.962184
N14953,1998,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan,9277.613263
N14959,1998,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan,9246.3531
N14960,1998,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan,8412.831798
N14972,1999,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan,8527.755312
N14974,1999,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan,8424.90684
N14977,1999,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan,9102.824274
N14991,2000,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan,8447.732371
N14993,2000,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan,8280.940998
N14998,2000,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan,8576.367968
N1501P,1990,Fixed wing multi engine,BOEING,767-3P6,2,290,,Turbo-fan,89895.77651
N150UW,2013,Fixed wing multi engine,AIRBUS,A321-211,2,199,,Turbo-fan,45562.45587
N151UW,2013,Fixed wing multi engine,AIRBUS,A321-211,2,199,,Turbo-fan,44749.78728
N152DL,1990,Fixed wing multi engine,BOEING,767-3P6,2,290,,Turbo-fan,89850.9109
N152UW,2013,Fixed wing multi engine,AIRBUS,A321-211,2,199,,Turbo-fan,44754.88106
N153DL,1990,Fixed wing multi engine,BOEING,767-3P6,2,290,,Turbo-fan,90645.75162
N153PQ,2007,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2,95,,Turbo-fan,14350.52271
N153UW,2013,Fixed wing multi engine,AIRBUS,A321-211,2,199,,Turbo-fan,44647.52927
N154DL,1991,Fixed wing multi engine,BOEING,767-3P6,2,290,,Turbo-fan,90082.96758
N154UW,2013,Fixed wing multi engine,AIRBUS,A321-211,2,199,,Turbo-fan,45504.06407
N15555,,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan,
N15572,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan,8660.644725
N15574,,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan,
N155DL,1991,Fixed wing multi engine,BOEING,767-3P6,2,290,,Turbo-fan,90016.75239
N155UW,2013,Fixed wing multi engine,AIRBUS,A321-211,2,199,,Turbo-fan,44782.90163
N156DL,1991,Fixed wing multi engine,BOEING,767-3P6,2,290,,Turbo-fan,90927.73802
N156UW,2013,Fixed wing multi engine,AIRBUS,A321-211,2,199,,Turbo-fan,44917.49997
N15710,1998,Fixed wing multi engine,BOEING,737-724,2,149,,Turbo-jet,28318.8417
N15712,1998,Fixed wing multi engine,BOEING,737-724,2,149,,Turbo-jet,27906.94484
N157UW,2013,Fixed wing multi engine,AIRBUS,A321-211,2,199,,Turbo-fan,45225.43315
N15910,2001,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan,8799.469571
N15912,2001,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan,8633.200736
N15973,1999,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan,8367.593677
N15980,1999,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan,9196.538295
N15983,2000,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan,9083.817056
N15985,2000,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan,8374.427993
N15986,2000,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan,8831.779556
N1602,1999,Fixed wing multi engine,BOEING,767-332,2,330,,Turbo-fan,114298.0534
N1603,1999,Fixed wing multi engine,BOEING,767-332,2,330,,Turbo-fan,114408.6211
N1604R,1999,Fixed wing multi engine,BOEING,767-332,2,330,,Turbo-fan,114321.3207
N1605,1999,Fixed wing multi engine,BOEING,767-332,2,330,,Turbo-fan,114638.1444
N16065,1999,Fixed wing multi engine,BOEING,767-332,2,330,,Turbo-fan,114677.9817
N1607B,2000,Fixed wing multi engine,BOEING,767-332,2,330,,Turbo-fan,114747.8643
N1608,2000,Fixed wing multi engine,BOEING,767-332,2,330,,Turbo-fan,114585.477
N1609,2000,Fixed wing multi engine,BOEING,767-332,2,330,,Turbo-fan,114669.0795
N1610D,2000,Fixed wing multi engine,BOEING,767-332,2,330,,Turbo-fan,114147.1274
N16112,2002,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan,8363.48343
N1611B,2000,Fixed wing multi engine,BOEING,767-332,2,330,,Turbo-fan,114245.9926
N1612T,2001,Fixed wing multi engine,BOEING,767-332,2,330,,Turbo-fan,114682.8267
N1613B,2001,Fixed wing multi engine,BOEING,767-332,2,330,,Turbo-fan,114363.9815
N16147,2003,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan,9196.510271
N16149,2003,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan,8458.571479
N16151,2003,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan,8318.029325
N16170,2004,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan,8407.497552
N16178,2005,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan,8901.485308
N16183,2005,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan,8867.76777
N161PQ,2008,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2,95,,Turbo-fan,14210.45249
N161UW,2001,Fixed wing multi engine,AIRBUS INDUSTRIE,A321-211,2,199,,Turbo-jet,45205.17928
N16217,1998,Fixed wing multi engine,BOEING,737-824,2,149,,Turbo-fan,28285.76325
N16234,1999,Fixed wing multi engine,BOEING,737-824,2,149,,Turbo-fan,27718.61741
N162PQ,2008,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2,95,,Turbo-fan,14437.91889
N162UW,2001,Fixed wing multi engine,AIRBUS INDUSTRIE,A321-211,2,199,,Turbo-jet,45130.55018
N163US,2001,Fixed wing multi engine,AIRBUS INDUSTRIE,A321-211,2,199,,Turbo-jet,44887.10638
N16541,2001,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan,8949.171511
N16546,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan,8968.519947
N16559,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan,8355.548251
N16561,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan,8722.141662
